Course Code,Course,Institution,Level,Topic,Participant,Pre,Post,Difference,Pre Duration (seconds),Post Duration (seconds)
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,256,2.5,5.5,3,413,528
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,257,7.5,6,-1.5,658,376
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,258,5,6,1,7919,310
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,259,1.5,5,3.5,261,617
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,260,2,6.5,4.5,187,822
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,261,3.5,7.5,4,581,396
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,262,3.5,5,1.5,608,1261
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,263,1.5,9,7.5,3485,705
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,264,2,6,4,4475,463
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,265,3,2.5,-0.5,444,325
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,266,2,-1,-3,428,233
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,267,7,8,1,417,342
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,268,2,2,0,4464,221
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,269,7,6,-1,807,425
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,270,9,8,-1,752,1071
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,271,3,4,1,624,531
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,272,4,8,4,417,171
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,273,1,4,3,307,91
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,274,4.5,3.5,-1,1184,390
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,275,5,8,3,644,446
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,276,2,8,6,985,330
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,277,2.5,4,1.5,244,147
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,278,0.5,6.5,6,256,489
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,279,6,4,-2,96,127
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,280,6.5,5.5,-1,394,237
